10 	 992452.829346054 	 0.01834830989252882 	 95457.67987701528
20 	 996513.4190145789 	 0.01222726218216419 	 195893.18703695523
30 	 996704.3351574257 	 0.009349421614603028 	 296328.9206432254
40 	 992329.555017584 	 0.0074614411137841246 	 396764.6542597638
50 	 993922.6378105044 	 0.0061180592169500225 	 497200.3878763021
60 	 996586.6731212971 	 0.004995502077591763 	 597636.1214929943
70 	 991503.5212421933 	 0.003992648070983672 	 698071.8551097421
80 	 992826.0347411338 	 0.0030479837688365814 	 798507.5887161825
90 	 994539.1277019673 	 0.002036529548146638 	 898943.0958762357
100 	 994400.7757528769 	 0.0 	 994400.7757533432
