10 	 -0.2672639633495015 	 0.05147798383762396 	 -0.012906787872475563
20 	 -0.28595551807752473 	 0.024146966198828237 	 -0.02521882206228141
30 	 -0.26749855399752465 	 0.012643510330070457 	 -0.0798944370389265
40 	 -0.28879093698647307 	 0.006036535354075997 	 -0.16618468283838242
50 	 -0.2780100476405753 	 0.0054896448326507 	 -0.1870277913705915
60 	 -0.284597004103989 	 0.0022212790738031186 	 -0.18896249925664899
70 	 -0.28479940791527736 	 0.0014808584786981302 	 -0.1973552770745479
80 	 -0.286673269125309 	 0.0007404352117651683 	 -0.20728867679634067
90 	 -0.2845850755224578 	 1.0990079912070564e-8 	 -0.21840874614951716
100 	 -0.28640458104776345 	 0.0 	 -0.2864045810477645
