10 	 -0.002466918441505783 	 0.9126808071427959 	 -0.0051140468139270435
20 	 -0.005198799607532034 	 5.722369401160137e-7 	 -0.0051198913462170564
30 	 -0.519233971251203 	 8.153827028491944e-5 	 -0.006990510985356827
40 	 -0.040206912048537484 	 2.6727112219577946e-6 	 -0.007079054816438015
50 	 -0.028340693966590984 	 1.8349499044294785e-6 	 -0.007934380873449089
60 	 -0.2574707364534546 	 2.8180442878613548e-5 	 -0.007964942847735816
70 	 -0.026584977267963557 	 1.1524854612195648e-6 	 -0.007972090306897463
80 	 -0.20441239145996692 	 1.5586045656440823e-5 	 -0.00797428294477075
90 	 -0.17722946932133143 	 1.061469762561807e-5 	 -0.008289264082541456
100 	 -0.1643802787321423 	 0.0 	 -0.16438027873214187
