10 	 6122.727091634274 	 7.594722130721219e-5 	 499.00114117041346
20 	 6110.009701469529 	 5.063971025861664e-5 	 957.577126485601
30 	 6118.505928100096 	 3.879845754997386e-5 	 1484.043120304066
40 	 6107.286243872134 	 3.104345496528697e-5 	 1967.5724710207974
50 	 6107.331173297795 	 2.5353793585159723e-5 	 2670.7559719598516
60 	 6111.74323228135 	 2.0717067190029746e-5 	 3313.470106041458
70 	 6112.182663271085 	 1.660434396482032e-5 	 4060.4319163273476
80 	 6113.42228792497 	 1.2684633554134225e-5 	 4741.428582206047
90 	 6112.7514706628135 	 8.450813040720771e-6 	 5457.608839924503
100 	 6111.836078253711 	 0.0 	 6111.836078253736
