10 	 6119.5850871265375 	 7.616205160360651e-5 	 499.00114117041346
20 	 6110.5100664351685 	 5.083511095361016e-5 	 957.577126485601
30 	 6120.158839367082 	 3.9013360682800766e-5 	 1484.043120304066
40 	 6107.157743070666 	 3.120002152871025e-5 	 1967.5724710207974
50 	 6107.87552692083 	 2.5505428131652276e-5 	 2670.7559719598516
60 	 6111.72183009818 	 2.085181210758466e-5 	 3313.470106041458
70 	 6112.196722074809 	 1.6750856700825766e-5 	 4060.4319163273476
80 	 6113.966672041562 	 1.2866066226340858e-5 	 4741.428582206047
90 	 6113.110489960696 	 8.680808294850993e-6 	 5457.608839924503
100 	 6111.6024397819865 	 1.814985608134969e-6 	 6111.836078253736
